x,y, std
0.000000000000000000e+00,3.773912799003831808e-01,5.000000000000000000e-01
1.034482758620689724e+00,2.086405933619002173e+00,6.724137931034482873e-01
2.068965517241379448e+00,3.010068957669139067e+00,8.448275862068965747e-01
3.103448275862069394e+00,-2.325156126484337893e-01,1.017241379310344751e+00
4.137931034482758896e+00,-2.590581997942023040e+00,1.189655172413793149e+00
5.172413793103448398e+00,-5.109343459346151306e+00,1.362068965517241548e+00
6.206896551724138789e+00,6.979459855102136956e-01,1.534482758620689724e+00
7.241379310344828291e+00,5.168536161192083256e+00,1.706896551724137900e+00
8.275862068965517793e+00,7.425385860535810068e+00,1.879310344827586299e+00
9.310344827586208183e+00,-9.550677724144561731e-01,2.051724137931034697e+00
1.034482758620689680e+01,-8.019253944047344262e+00,2.224137931034483096e+00
1.137931034482758719e+01,-1.829502122644442341e+00,2.396551724137931050e+00
1.241379310344827758e+01,-1.715212277017724052e+00,2.568965517241379448e+00
1.344827586206896619e+01,8.371928328749598691e+00,2.741379310344827847e+00
1.448275862068965658e+01,6.006520410907403296e+00,2.913793103448275801e+00
1.551724137931034520e+01,2.647705631478349808e+00,3.086206896551724199e+00
1.655172413793103559e+01,-2.122785985569466849e+00,3.258620689655172598e+00
1.758620689655172598e+01,-7.238290195275233430e+00,3.431034482758620996e+00
1.862068965517241637e+01,3.458122838071145289e+00,3.603448275862069394e+00
1.965517241379310320e+01,9.987944759735650990e+00,3.775862068965517349e+00
2.068965517241379359e+01,1.267777400364855467e+01,3.948275862068965747e+00
2.172413793103448398e+01,6.667675946051664582e+00,4.120689655172414589e+00
2.275862068965517437e+01,-9.501667514032575923e+00,4.293103448275862100e+00
2.379310344827586476e+01,-5.293700683315696764e+00,4.465517241379310498e+00
2.482758620689655515e+01,-8.941002494571286263e+00,4.637931034482758896e+00
2.586206896551724199e+01,1.662148754621201263e+01,4.810344827586207295e+00
2.689655172413793238e+01,4.983569681092784087e+00,4.982758620689655693e+00
2.793103448275862277e+01,3.602746365756062552e+00,5.155172413793104091e+00
2.896551724137931316e+01,-1.442883335604550332e+01,5.327586206896551602e+00
3.000000000000000000e+01,-2.387412595517493585e+01,5.500000000000000000e+00
