   Time [MJD]         Obs. Residuals [mm]
---------------------------------------------
57266.6424305556         -40.300
57266.6426157407         -51.600
57269.5070254630         -20.500
57269.5074074074         -14.100
57269.5076967593         -10.200
57269.5078472222         -12.700
57266.8806018519         -76.300
57266.8810185185         -67.000
57266.8813194444         -49.000
57266.8816087963         -47.500
57267.8365046296          37.200
57267.8368402778          35.000
57267.8371875000          35.800
57267.8374884259          14.500
57267.8378472222         134.000
57268.8710185185         -46.800
57268.8711805556         -28.300
57268.8713888889         -13.400
57268.8718171296         -10.500
57268.8721875000         -28.400
57268.8726041667         -56.200
57268.8728356482          46.500
57268.8733333333         -25.900
57268.8734953704         -59.000
57269.8271875000          -4.500
57269.8274768519           2.900
57269.8277893519          10.900
57269.8281481481         -58.400
57269.8285185185          -4.600
57269.8287847222         -41.300
57269.8290625000         -24.200
57269.9081597222         -72.400
57269.9083217593          -8.700
57269.9086921296          10.900
57269.9091319444          10.400
57269.9094444444          10.000
57269.9097337963         -17.600
57269.9100115741         -34.800
57270.7841087963        -162.400
57270.7844907407         -18.900
57270.7846296296          82.300
57270.7850694444         -20.300
57270.7852893519         -32.500
57267.8378935185           2.200
57267.8381712963           3.000
57267.8385300926           1.900
57267.8387500000          -2.000
57267.8393518518          -0.300
57267.9170486111          -2.600
57267.9174074074          11.000
57268.8705671296         -25.900
57268.8707638889           1.000
57268.8712500000         -11.700
57268.8714930556          10.900
57268.8718981482          42.500
57268.9548495370          -7.600
57268.9551273148         -33.200
57269.8268981481         -12.700
57269.8271759259          -3.000
57269.8274305556         -23.900
57269.8276851852          -2.500
57269.9088310185          23.500
57269.9091435185          -7.800
57269.9093171296          -9.400
57270.8661111111           2.300
57270.8663310185          11.100
57270.8665856481          36.400
57267.8362731481           3.300
57267.8364814815           7.500
57267.8367361111           3.600
57267.8371875000           3.600
57267.8374305556         -17.100
57267.8378240741         -24.100
57269.8233333333          11.900
57269.8236111111          -2.400
57269.8239236111         -13.900
57269.8244444444         -10.500
57269.8250347222           9.800
57269.8252430556          34.100
57269.8272685185          18.600
57269.8274652778          -8.400
57269.8277430556          -9.600
57269.8280208333           5.400
57269.8286458333         -14.200
57269.8287037037           2.200
57266.7984027778          20.300
57266.7986342593          15.400
57266.7989467593          17.600
57266.7993402778          -2.300
57266.7996296296           6.400
57266.8802546296          15.600
57266.8805555556          14.100
57266.8809143519           9.900
57266.8813078704           1.800
57266.8814814815          -1.100
57266.8819675926          -2.100
57269.8276157407          -8.600
57269.8278125000          -1.300
57269.8282060185          -1.000
57269.8283796296          -6.100
57269.8289467593          -2.700
57269.8291550926           1.700
57269.8295601852          17.200
57269.8297685185         -26.400
57269.8303472222         -10.800
57269.8304745370          -9.900
57269.8307986111         -38.400
57270.7828009259           3.000
57270.7829629630          -4.100
57270.7834375000           3.800
57270.7836689815          -1.900
57270.7841203704          -9.800
57270.7843981481          -5.300
57270.7847222222           5.200
57270.7851504630           1.100
57270.7853819444          -6.400
57270.7858333333           2.100
57270.7860648148           0.100
57270.7865972222           9.100
57270.7867708333          14.400
57270.8639004630          -0.200
57270.8642824074         -11.000
57270.8646643519         -12.900
57270.8649305556          -7.100
57270.8653472222           0.200
57270.8656481482           8.800
57270.8659837963          10.800
57270.8663541667           3.300
57270.8665972222           0.200
57267.6754629630           6.400
57267.6757638889           3.700
57267.6760532407          -7.200
57267.6764120370          -2.200
57267.6767592593          -6.700
57267.6771296296          -7.700
57267.6774884259          -7.900
57267.6777662037           2.600
57267.6781365741           1.900
57267.6784722222          -2.100
57267.6787384259           6.500
57268.6316087963           0.300
57268.6320138889           1.400
57267.6752662037          11.800
57267.6775925926         -11.400
57267.6777430556          -1.600
57267.6781944444          14.000
57267.6784722222          -4.900
57268.7150694444         -16.300
57268.7151504630          -6.400
57268.7160532407          -0.900
57268.7163657407          -3.600
57268.7168055556           5.400
57268.7169675926          -2.300
57268.7174189815           4.200
